"","x","y","values"
"1",0.764111,0.916625,NA
"2",0.316213,0.85034,NA
"3",0.443534,0.696895,NA
"4",0.840269,0.204761,NA
"5",0.320684,0.913298,NA
"6",0.681544,0.863752,NA
"7",0.988449,0.770626,NA
"8",0.289372,0.726802,NA
"9",0.209888,0.760876,NA
"10",0.126757,0.803662,NA
"11",0.767422,0.309453,NA
"12",0.611536,0.074678,NA
"13",0.526146,0.8365,NA
"14",0.818341,0.771878,NA
"15",0.036728,0.60032,NA
"16",0.042115,0.498299,NA
"17",0.991623,0.807858,NA
"18",0.157229,0.655146,NA
"19",0.818799,0.527398,NA
"20",0.689586,0.924697,NA
"21",0.443336,0.453147,NA
"22",0.178332,0.594888,NA
"23",0.835264,0.940291,NA
"24",0.998108,0.413535,NA
"25",0.394781,0.794675,NA
"26",0.345403,0.070802,NA
"27",0.806699,0.049805,NA
"28",0.940352,0.76318,NA
"29",0.401694,0.417639,NA
"30",0.99855,0.895338,NA
"31",0.314275,0.242664,NA
"32",0.451362,0.274144,NA
"33",0.305226,0.805676,NA
"34",0.050324,0.241245,NA
"35",0.540414,0.325231,NA
"36",0.514137,0.468864,NA
"37",0.940108,0.815732,NA
"38",0.967254,0.121569,NA
"39",0.943282,0.590387,NA
"40",0.392111,0.630655,NA
"41",0.659129,0.693294,NA
"42",0.742763,0.114794,NA
"43",0.374685,0.750591,NA
"44",0.255695,0.786648,NA
"45",0.056229,0.046143,NA
"46",0.388479,0.273243,NA
"47",0.652171,0.344106,NA
"48",0.209262,0.445457,NA
"49",0.298817,0.584665,NA
"50",0.479332,0.348348,NA
"51",0.225528,0.098833,NA
"52",0.122499,0.836622,NA
"53",0.105821,0.490898,NA
"54",0.574563,0.923339,NA
"55",0.842817,0.832792,NA
"56",0.083589,0.128359,NA
"57",0.934173,0.100435,NA
"58",0.652613,0.029206,NA
"59",0.256886,0.462242,NA
"60",0.740505,0.263844,NA
"61",0.229252,0.401343,NA
