x,y,predicted values
0.764111,0.916625,-0.394701
0.316213,0.85034,-0.951337
0.443534,0.696895,0.250512
0.840269,0.204761,0.073419
0.320684,0.913298,-0.923322
0.681544,0.863752,2.6584
0.988449,0.770626,0.060935
0.289372,0.726802,0.214709
0.209888,0.760876,1.839989
0.126757,0.803662,1.135219
0.767422,0.309453,0.432873
0.611536,0.074678,0.571162
0.526146,0.8365,1.148956
0.818341,0.771878,-1.728085
0.036728,0.60032,-0.987454
0.042115,0.498299,-0.4633
0.991623,0.807858,1.299241
0.157229,0.655146,-0.432187
0.818799,0.527398,-0.132307
0.689586,0.924697,-1.120282
0.443336,0.453147,0.87493
0.178332,0.594888,0.284752
0.835264,0.940291,-0.298592
0.998108,0.413535,-0.247111
0.394781,0.794675,0.147385
0.345403,0.070802,2.500815
0.806699,0.049805,-0.615773
0.940352,0.76318,0.893123
0.401694,0.417639,-0.752584
0.99855,0.895338,-1.186994
0.314275,0.242664,-0.110381
0.451362,0.274144,-1.490739
0.305226,0.805676,0.813327
0.050324,0.241245,0.892102
0.540414,0.325231,0.341907
0.514137,0.468864,-0.032048
0.940108,0.815732,2.381909
0.967254,0.121569,0.286784
0.943282,0.590387,1.104308
0.392111,0.630655,0.630013
0.659129,0.693294,-1.024271
0.742763,0.114794,-0.270119
0.374685,0.750591,0.733028
0.255695,0.786648,-0.624382
0.056229,0.046143,-0.0674
0.388479,0.273243,0.956876
0.652171,0.344106,-1.544368
0.209262,0.445457,-0.217007
0.298817,0.584665,-0.754569
0.479332,0.348348,1.512827
0.225528,0.098833,1.622414
0.122499,0.836622,-0.188548
0.105821,0.490898,2.20344
0.574563,0.923339,0.096463
0.842817,0.832792,-0.328435
0.083589,0.128359,-2.62763
0.934173,0.100435,-0.744106
0.652613,0.029206,1.589918
0.256886,0.462242,-0.734842
0.740505,0.263844,-0.457623
0.229252,0.401343,0.567624
0.078202,0.952819,-0.408434
0.336263,0.149325,-1.186843
0.639536,0.544381,0.127171
0.318822,0.955688,-1.562244
0.013397,0.800214,0.352874
0.413733,0.067155,1.81532
0.255802,0.835203,0.441268
0.539391,0.700893,-1.24615
0.772274,0.650446,-1.638006
0.658442,0.202228,1.245673
0.259205,0.672435,-0.761626
0.766674,0.823865,-1.136795
0.030137,0.26479,1.528148
0.583444,0.155627,0.380975
0.964553,0.88777,-0.904705
0.147662,0.050416,0.292506
0.079271,0.561196,-1.272777
0.87715,0.954284,0.148094
0.505409,0.454292,-0.268138
0.097261,0.714778,0.292641
0.670893,0.907118,-0.027317
0.236408,0.392477,0.490095
0.722835,0.920272,-1.390791
0.933761,0.589105,0.702026
0.799283,0.597589,-0.401312
0.30425,0.374655,0.613498
0.967147,0.961852,-2.183922
0.562295,0.928145,-0.025706
0.451301,0.445838,1.114542
0.093278,0.314748,-0.816668
0.900877,0.912108,0.201605
0.389273,0.888792,-1.040568
0.477287,0.19527,0.292501
0.58146,0.526589,-2.310631
0.02063,0.473487,1.18807
0.59353,0.12314,-1.4259
0.539406,0.56318,0.183239
0.148196,0.187457,0.937335
0.996902,0.736599,-0.841685
0.263127,0.733898,1.823523
0.360372,0.206668,-1.59028
0.762509,0.430426,-0.189425
0.145281,0.684352,-0.798562
0.715328,0.884413,0.249166
0.358892,0.608148,-0.278416
0.097536,0.686366,-0.236621
0.658762,0.539239,0.192684
0.736339,0.828428,-0.722038
0.030625,0.634211,-0.267612
0.177264,0.497444,0.141038
0.042695,0.208225,0.850623
0.934142,0.297749,-0.186417
0.546654,0.770809,2.128831
0.443778,0.085191,4.002645
0.577127,0.220294,0.199649
0.3505,0.820737,1.174171
0.09424,0.207523,2.157224
0.556725,0.220417,1.199551
0.429557,0.629496,0.574548
0.905882,0.354314,0.427226
0.10573,0.522728,0.065464
0.297887,0.684733,0.709055
0.215152,0.210636,1.780873
0.932479,0.814618,2.169673
0.401236,0.038285,-1.477546
0.01619,0.340215,1.255573
0.262699,0.455192,-0.703285
0.666758,0.964385,1.92884
0.144182,0.062333,0.420911
0.625727,0.875502,-0.620113
0.086641,0.330129,-0.974151
0.058106,0.016587,0.529446
0.648875,0.307637,-2.442612
0.701396,0.870527,1.722061
0.015518,0.506752,0.258301
0.553399,0.703304,-1.400363
0.816449,0.307668,1.181056
0.659739,0.049332,0.818012
0.284489,0.249836,-0.146811
0.566506,0.748577,-1.089208
0.719524,0.033524,-0.036245
0.166812,0.170169,0.404742
0.518868,0.049836,-0.433503
0.757366,0.887297,-0.733125
0.955291,0.10927,-0.843928
0.132387,0.285389,-0.562695
0.102663,0.956176,-1.481236
0.221714,0.009781,0.320969
