sigma squared,beta,nu,tau squared,time in seconds
0.978104,0.030957,2.614186,0.000071,23840.735
0.999241,0.029789,1.598241,0.000071,19766.53
1.011886,0.02396,0.606241,0.000072,16084.675
0.590323,0.219039,1.403736,0.000061,11374.494
0.816363,0.0764,1.687413,0.000063,21186.153
0.91976,0.066168,0.607967,0.000069,18986.247
0.521489,0.137531,1.938954,0.000044,19884.4
0.733177,0.144603,0.608014,0.000064,17390.325
1.501729,0.038638,2.146375,0.271062,19219.877
1.360918,0.034678,1.563263,0.269234,19274.823
1.281548,0.030332,0.564477,0.255341,13827.237
1.682272,0.122456,2.137672,0.270773,21870.02
1.206354,0.155,0.87304,0.262306,13163.113
1.215698,0.096059,0.528857,0.26159,12717.33
1.105237,0.273987,1.435389,0.272082,17289.59
1.283359,0.163695,0.799136,0.280107,13270.578
