x,y,predicted values
0.160479,0.258412,1.673642
0.759335,0.712428,-1.350273
0.650431,0.656519,0.054506
0.912703,0.498146,0.639578
0.292561,0.221103,4.459794
0.988693,0.920653,-0.516012
0.116518,0.977478,0.061796
0.331487,0.01239,1.642443
0.245899,0.201526,5.585546
0.838239,0.067704,0.702122
0.784894,0.35642,3.460912
0.538735,0.838102,0.717839
0.484245,0.78735,-0.379308
0.489891,0.953124,1.072285
0.9243,0.687236,0.261141
0.351888,0.779263,1.946079
0.239246,0.814618,0.201268
0.206165,0.50219,1.057737
0.431281,0.902541,-0.434822
0.427512,0.017884,3.394241
0.861143,0.353307,4.409845
0.216114,0.335119,4.673239
0.046357,0.925322,1.931478
0.628809,0.56553,-0.03637
0.464851,0.340169,4.31279
0.959686,0.846601,0.287798
0.539864,0.464866,3.378575
0.879576,0.439567,1.602444
0.14757,0.401373,1.586902
0.913252,0.341451,1.94135
0.705699,0.73344,-1.12539
0.100572,0.141451,-0.692112
0.771756,0.0439,0.136078
0.23975,0.034577,0.322943
0.248371,0.502708,0.308308
0.847562,0.606714,0.90014
0.264729,0.699901,-1.557879
0.331289,0.267811,3.341919
0.584634,0.484657,0.255251
0.393408,0.489235,-1.32898
0.106432,0.111437,-1.102976
0.283726,0.767147,0.063345
0.810605,0.861585,-1.758002
0.435859,0.248615,5.642723
0.723476,0.475105,2.296977
0.743572,0.738689,-1.310349
0.22359,0.701656,-1.023703
0.554559,0.928649,0.800474
0.179492,0.234394,1.750427
0.613703,0.221118,4.818721
0.171603,0.662135,-0.436826
0.296803,0.732876,0.474019
0.792477,0.103395,2.204741
0.467506,0.301122,2.292198
0.560174,0.287572,10.944447
0.383886,0.100496,16.441198
0.967407,0.951369,-1.405165
0.442618,0.650553,0.38855
0.111345,0.977325,0.285801
0.472145,0.405447,4.219683
0.737575,0.775128,-0.283204
0.245197,0.022568,0.146664
0.61059,0.098589,2.74257
0.385321,0.329519,3.89396
0.56875,0.916258,1.693247
0.312856,0.697215,0.638613
0.846616,0.726894,-4.623982
0.067597,0.615717,1.651106
0.377676,0.707347,0.993942
0.702571,0.10312,1.643138
0.403632,0.528511,-2.180978
0.646494,0.586221,0.317271
0.624353,0.660624,-0.354228
0.224491,0.573556,0.025166
0.126452,0.770153,0.192137
0.324895,0.437354,-0.581501
0.989395,0.068696,2.2959
0.31989,0.345235,3.770305
0.882582,0.796445,-2.802934
0.921416,0.451225,1.962489
0.838773,0.023621,0.874305
0.338125,0.240604,3.154042
0.563806,0.946639,0.801946
0.986114,0.299336,1.740027
0.070481,0.629496,1.756199
0.61561,0.241444,4.163285
0.100679,0.403296,3.675065
0.016342,0.65536,1.395674
0.324895,0.939269,-1.319479
0.706126,0.242802,4.184104
0.283543,0.048569,2.038654
0.020417,0.781399,-0.824394
0.139315,0.191348,0.447514
0.222614,0.883299,-0.121033
0.026886,0.914702,0.777428
0.154849,0.613245,0.474599
0.535286,0.146349,4.308866
0.147662,0.232288,1.354552
0.909148,0.62829,0.274053
0.295842,0.899123,-0.172837
0.475227,0.686503,0.069525
0.76817,0.285298,4.56865
0.893599,0.494423,0.224379
0.747341,0.346395,1.546165
0.597177,0.66215,-0.653538
0.907393,0.788327,-0.648939
0.848859,0.34258,5.148547
0.807568,0.867521,-1.270119
0.755703,0.96582,1.375019
0.505135,0.383169,5.098499
0.869337,0.264408,2.557422
0.613642,0.212161,5.370473
0.368856,0.943267,-0.12566
0.927581,0.148455,1.414653
0.361517,0.564157,-2.235341
0.669215,0.030442,1.348168
0.797772,0.442405,1.346338
0.445548,0.342245,3.667199
0.385138,0.734142,1.111205
0.469551,0.277256,2.269235
0.789899,0.167819,3.645975
0.387686,0.340764,3.508676
0.249241,0.857862,0.910021
0.725414,0.608133,0.360098
0.49218,0.764279,-0.463014
0.076524,0.124605,-1.345905
0.641215,0.225483,5.441394
0.699367,0.737545,-1.485058
0.161135,0.870603,1.038831
0.895491,0.932341,0.177713
0.004166,0.647257,1.718531
0.670695,0.051255,1.445119
0.743435,0.383749,1.388706
0.785138,0.66067,-2.355401
0.8813,0.485603,0.081953
0.448478,0.341299,3.936825
0.375326,0.149218,6.675886
0.195102,0.160418,1.90928
0.887282,0.88922,0.430289
0.372473,0.099702,14.497086
0.023728,0.45272,7.564949
0.745327,0.405112,0.884966
0.697505,0.777249,-0.437823
0.351888,0.882216,-0.232833
0.286366,0.058808,1.955993
0.351705,0.170199,2.893101
0.709743,0.730465,-0.892806
0.516442,0.879469,1.164622
0.091569,0.544717,2.484106
0.139254,0.046693,0.374433
0.745846,0.951263,1.509261
0.175494,0.875395,1.605778
0.912444,0.327672,2.161038
0.482246,0.573693,-1.421012
0.32813,0.24036,3.048607
0.947387,0.91751,0.34887
0.337484,0.934432,-0.974108
0.381796,0.54786,-3.317668
0.722606,0.627588,0.183138
0.157412,0.00351,-0.183345
0.348379,0.524697,-1.943097
0.99086,0.022278,2.234376
0.941726,0.344732,0.623397
0.764553,0.552392,0.666799
0.205142,0.143359,1.001415
0.509239,0.629511,0.31316
0.305623,0.240574,3.216544
0.708476,0.683635,-0.731378
0.485847,0.21355,4.991322
0.314778,0.175753,3.015563
0.464851,0.538766,-0.034782
0.182483,0.025406,-0.211292
0.445319,0.034379,5.446424
0.798352,0.475334,0.973205
0.599344,0.072709,2.430943
0.313771,0.765835,0.972155
0.722271,0.504692,1.126733
0.109133,0.124895,-1.378741
0.343404,0.654658,0.29429
0.6663,0.121126,2.7727
0.819104,0.077501,1.364092
0.01088,0.682292,1.126181
0.690822,0.517281,1.969967
0.334508,0.712367,1.311296
0.285374,0.049851,1.973308
0.121431,0.486595,4.130413
0.297322,0.660685,-1.903268
0.07657,0.990249,1.556259
0.491127,0.732357,-1.092018
0.653468,0.326757,0.657483
0.907347,0.689357,-0.895709
0.364416,0.251713,3.029903
0.244221,0.642161,-3.261851
0.977523,0.044404,2.437196
0.863569,0.605234,0.930169
0.20383,0.667643,-1.357076
0.716594,0.985885,2.71613
0.21471,0.921477,-0.819315
0.874891,0.200122,2.256292
0.844419,0.476631,-0.41786
0.066712,0.594781,1.88573
0.127489,0.439841,1.569978
0.965728,0.605112,1.294139
0.290227,0.658152,-2.49138
0.46717,0.423331,2.490221
0.146334,0.049836,0.206182
0.611536,0.173602,3.392379
0.287373,0.136797,3.93299
0.831724,0.541894,0.965495
0.45539,0.752239,-1.107025
0.702434,0.926452,1.473028
0.885527,0.844831,-0.860447
0.469703,0.417777,2.89217
0.304173,0.845884,0.557592
0.350591,0.54052,-1.714761
0.203738,0.48452,1.382894
0.377127,0.951125,-0.436367
0.933211,0.898573,0.068331
0.216266,0.896407,-0.325056
0.99118,0.173648,1.95837
0.51078,0.366323,4.832423
0.070115,0.722271,0.103045
0.30959,0.042237,3.357271
0.612558,0.560555,-0.739103
0.324224,0.841642,0.360331
0.449241,0.252613,4.941705
0.713481,0.229175,5.114489
0.044526,0.872404,-0.180821
0.383764,0.782773,1.38897
0.925811,0.418448,2.083861
0.773846,0.788373,-1.585923
0.263416,0.386801,5.053402
0.06949,0.163561,0.198689
0.528557,0.650675,0.050247
0.016175,0.864149,0.096755
0.739406,0.18912,3.961503
0.037446,0.286442,2.749432
0.37937,0.971786,-0.051649
0.301564,0.084276,3.675954
0.144579,0.611566,0.487155
0.107301,0.217166,2.060716
0.57821,0.869383,1.506147
0.962707,0.405478,1.1665
0.0963,0.569818,1.845933
0.401587,0.59379,-1.384575
0.499611,0.14548,9.250328
0.172396,0.534325,0.926307
0.875761,0.054841,1.763201
0.976471,0.652354,1.170473
0.00032,0.032532,-2.194518
0.180667,0.523247,1.240338
0.517098,0.013672,2.291418
0.234226,0.717266,-0.057826
0.317128,0.230747,3.736701
0.8598,0.615381,0.988408
0.502342,0.117189,11.082045
0.360266,0.035767,2.875143
0.979629,0.775616,0.082636
0.488899,0.832502,-0.481542
0.453376,0.210666,7.657424
0.796658,0.327794,5.629697
0.017258,0.879347,-0.057117
0.258488,0.111147,3.886005
0.096681,0.621439,1.387816
0.811292,0.255741,6.217413
0.87155,0.763134,-5.416675
0.215503,0.756374,0.223502
0.970184,0.819333,1.399591
0.220691,0.994858,-2.008492
0.32665,0.710582,1.310582
0.990646,0.436301,0.12127
0.971527,0.766812,0.209982
0.9205,0.490608,1.010467
0.074647,0.215702,2.820864
0.75555,0.4336,0.860798
0.749554,0.819303,-0.718612
0.137774,0.254368,2.333013
0.744854,0.694347,-1.613301
0.353399,0.053773,4.432104
0.123323,0.705791,-0.723281
0.845655,0.569802,1.251442
0.303426,0.570703,-2.512512
0.474205,0.655528,0.320911
0.523125,0.367758,4.381322
0.443366,0.071214,22.053715
