x,y,predicted values
0.325826,0.167514,0.968964
0.096498,0.007355,-0.727628
0.615412,0.62536,-0.752591
0.034897,0.135698,0.596527
0.781125,0.922164,-0.220532
0.406699,0.2934,0.802577
0.189746,0.023896,-0.866284
0.814847,0.002762,-0.632056
0.748486,0.061738,0.230738
0.203784,0.687343,-1.51201
0.521798,0.538827,-0.321793
0.525109,0.882582,0.685303
0.682399,0.130205,0.800812
0.440528,0.676875,0.038504
0.194339,0.337224,0.528035
0.763684,0.009293,-0.973933
0.021286,0.814252,-0.288786
0.977142,0.877104,-0.37735
0.30988,0.663096,-1.597317
0.190585,0.237201,0.496873
0.874754,0.930343,-0.132083
0.202365,0.065202,-0.377923
0.260639,0.275456,1.033766
0.530694,0.244297,2.243987
0.490623,0.823896,-0.39092
0.90341,0.329137,1.352403
0.89955,0.88986,-0.221734
0.175113,0.204257,0.555682
0.138415,0.389685,0.204383
0.076341,0.026673,-0.975301
0.105196,0.009522,-0.675763
0.120226,0.524147,1.355602
0.929686,0.888457,-0.235199
0.900862,0.420768,0.730103
0.084733,0.165286,-0.563678
0.848829,0.338857,1.845166
0.443381,0.757809,-0.861604
0.139178,0.57435,0.031121
0.693675,0.882261,1.626691
0.44329,0.855711,-1.505002
0.002487,0.302632,1.306551
0.659815,0.709758,-1.591385
0.80679,0.898528,-0.733092
0.165591,0.967514,-1.377399
0.693187,0.608286,-0.003138
0.508873,0.172656,2.035769
0.583139,0.74786,-1.117575
0.777646,0.635752,-1.04897
0.703288,0.874342,1.506413
0.660761,0.124224,1.002589
0.50428,0.357717,1.06218
0.580697,0.544671,-1.527836
0.184573,0.867567,0.40026
0.529854,0.181674,1.51389
0.522103,0.592462,-0.786011
0.304875,0.05272,1.221093
0.464195,0.597528,-1.717703
0.759548,0.408225,0.049434
0.288121,0.894118,-0.538717
0.875364,0.069627,0.12205
0.209522,0.264164,0.869245
0.693645,0.373663,-0.527875
0.279164,0.66276,-2.418837
0.939651,0.819425,-0.168314
0.486183,0.324651,0.817751
0.216632,0.409873,0.626633
0.157504,0.888762,0.182131
0.381567,0.12668,3.245948
0.5093,0.519478,0.406904
0.153506,0.022797,-0.551597
0.092821,0.765881,-0.791202
0.525383,0.400366,1.306849
0.300801,0.115297,1.927719
0.603189,0.939864,1.558703
0.055497,0.252735,1.170827
0.092531,0.80679,-0.470369
0.065629,0.251392,1.244321
0.982712,0.187655,0.268901
0.429496,0.589899,-1.90573
0.938338,0.130892,-0.420861
0.680247,0.753399,-1.371019
0.839475,0.247654,0.987169
0.760449,0.374701,0.141001
0.2374,0.575616,-0.959703
0.191608,0.249744,0.461457
0.663325,0.584253,-0.412678
0.973861,0.438529,-0.000624
0.754223,0.320241,0.355316
0.666667,0.025223,0.114955
0.44361,0.167834,2.598188
0.045823,0.838209,0.061893
0.898146,0.906508,-0.236069
0.503487,0.183337,2.01171
0.972519,0.879515,-0.369594
0.445747,0.848569,-1.429625
0.045319,0.00589,-2.194128
0.475792,0.936675,0.359152
0.914183,0.56144,0.499137
0.059632,0.278676,1.271765
0.838727,0.558785,0.127945
0.757229,0.331212,0.420162
0.354742,0.277592,0.956815
0.836332,0.150713,0.021531
0.368872,0.380179,-0.516983
0.016236,0.509209,1.55064
0.53724,0.759136,-0.179012
0.161807,0.443214,-0.167801
0.901381,0.807889,-1.428108
0.409735,0.044602,1.084091
0.028687,0.817411,-0.190474
0.641733,0.248402,1.515899
0.51252,0.858808,-0.177855
0.060365,0.289815,1.330668
0.545754,0.99176,0.280803
0.326589,0.71281,0.071702
0.434745,0.355276,0.569901
0.685435,0.361547,-0.462252
0.585397,0.058625,0.511939
0.49456,0.292195,0.954618
0.342123,0.932525,-0.860095
0.845884,0.179538,-0.028702
0.305135,0.942306,-1.220744
0.422477,0.403754,-0.403493
0.825284,0.18349,0.57335
0.364874,0.761181,0.830201
0.295369,0.10164,1.570635
0.855421,0.015122,-0.353054
0.68687,0.54023,0.190907
0.985214,0.770123,-0.516749
0.30927,0.018784,0.931472
0.369116,0.134325,2.926426
0.940352,0.723491,-1.226364
0.781247,0.043626,-0.784097
0.620478,0.188403,1.400378
0.097139,0.103624,-1.74824
0.943832,0.039307,-0.118136
0.927184,0.141207,-0.375732
0.298299,0.517845,-1.296043
0.11043,0.940673,-0.463848
0.901472,0.116335,-0.055877
0.867735,0.977661,-0.952501
0.859495,0.109514,-0.332914
0.149523,0.060395,-0.350392
0.528801,0.022339,0.035315
0.4636,0.825666,-0.896689
0.646433,0.050324,0.757769
0.588647,0.895338,1.037609
0.176394,0.34287,0.253218
0.670695,0.863127,1.932743
0.376867,0.294255,1.003425
0.409476,0.601678,-1.463091
0.621134,0.209613,1.686246
0.682841,0.582788,-0.070411
0.968215,0.642252,-0.121529
0.301274,0.9449,-1.205442
0.224338,0.450187,0.010007
0.265522,0.087388,0.503961
0.831632,0.302205,1.571991
0.86247,0.314107,1.420724
0.343389,0.143343,2.090274
0.036851,0.500694,1.613087
0.040467,0.399268,1.792547
0.518257,0.230579,1.875677
0.90074,0.908751,-0.206259
0.780377,0.586374,-0.077224
0.297444,0.445274,-1.210497
0.587304,0.687388,-1.480214
0.362753,0.636637,-1.262524
0.076692,0.31928,0.881226
0.046586,0.785367,-0.620561
0.205631,0.979171,-1.850214
0.533532,0.998459,0.449055
0.212299,0.787442,0.339866
0.681453,0.482658,-0.172628
0.435416,0.32845,0.567668
0.017899,0.039536,-1.422131
0.968612,0.430716,0.113178
0.870573,0.066102,0.113263
0.625406,0.418326,-0.621723
0.775555,0.156481,1.055838
0.612268,0.24181,1.4121
0.758343,0.036332,-0.246152
0.093492,0.351263,0.668707
0.697826,0.569619,0.200754
0.060395,0.273823,1.298016
0.130343,0.5037,1.400365
0.150378,0.917449,-0.453937
0.312352,0.398138,0.369616
0.573602,0.939147,0.91799
0.293767,0.325231,0.649542
0.758541,0.928573,0.182059
0.093584,0.008103,-0.737431
0.788647,0.946548,-0.242611
0.654795,0.867399,1.626372
0.496895,0.889754,-0.266455
0.50135,0.791516,-0.216564
0.784497,0.172213,1.175358
0.629816,0.486732,-1.157662
0.330846,0.015702,0.672696
0.617456,0.373846,0.222503
0.502205,0.362387,1.138431
0.078386,0.205539,1.258941
0.235126,0.036637,-0.41143
0.447501,0.251316,1.390654
0.154818,0.065721,-0.29851
0.099519,0.863828,0.269917
0.271611,0.018189,0.085395
0.321401,0.399771,0.116622
0.262135,0.151797,0.675425
0.527581,0.608499,-0.57235
0.313542,0.62884,-2.401772
0.992401,0.318242,0.037152
0.622187,0.266423,1.506062
0.644572,0.564858,-0.705444
0.972885,0.946349,-1.22176
0.478294,0.500893,0.420235
0.861112,0.910369,-0.204582
0.330831,0.866148,-0.4657
0.972732,0.234714,0.970169
0.864805,0.62739,-0.064956
0.034836,0.593225,-0.266933
0.245823,0.796292,0.00309
0.556374,0.342321,1.260425
