x,y,predicted values
0.377707,0.824811,0.479846
0.139315,0.867491,0.42727
0.765881,0.733227,-2.616639
0.600534,0.780789,0.05485
0.811658,0.045151,0.342525
0.124681,0.837629,0.516008
0.199496,0.901671,-0.242679
0.202716,0.587793,0.585728
0.291218,0.185382,4.162464
0.597894,0.100404,2.257912
0.108721,0.451438,3.58388
0.020111,0.104265,1.757999
0.344259,0.182422,2.091245
0.048478,0.104692,0.270098
0.201572,0.876478,0.420524
0.699687,0.016846,0.697694
0.64358,0.133837,4.817305
0.142245,0.785672,0.600556
0.323125,0.412604,0.92197
0.914626,0.493568,0.805907
0.097856,0.935241,0.918919
0.038468,0.014389,-1.561103
0.657801,0.831525,3.953524
0.245212,0.986801,-1.903592
0.96321,0.855604,0.165486
0.243717,0.607156,-1.417642
0.82948,0.255634,3.991541
0.39324,0.659541,0.578947
0.507256,0.107164,21.413763
0.602502,0.059449,2.610544
0.859419,0.31667,5.463603
0.501656,0.72343,-0.851419
0.259419,0.975784,-1.270555
0.727535,0.186221,4.942849
0.11429,0.985153,0.659518
0.98471,0.631739,1.285386
0.623697,0.568673,-0.173092
0.839673,0.134829,1.085558
0.682292,0.275166,4.541148
0.162478,0.808743,1.328503
0.661616,0.479362,0.669485
0.161532,0.517357,2.390375
0.654856,0.015396,1.174327
0.863157,0.212604,2.154161
0.56434,0.95111,0.787764
0.567468,0.568124,-0.909594
0.764569,0.3458,3.034594
0.465873,0.330632,5.49443
0.688319,0.360555,0.583405
0.996841,0.42211,0.543816
0.008392,0.628382,0.913377
0.60058,0.837659,0.890664
0.185214,0.999145,-1.297654
0.663783,0.461387,1.412048
0.357519,0.584115,-2.541077
0.24686,0.024857,0.225912
0.503365,0.652293,0.53883
0.92961,0.577111,2.250881
0.585245,0.093584,1.9295
0.246616,0.074723,0.829477
0.516716,0.95761,0.782755
0.052674,0.641703,2.068434
0.195712,0.83032,0.217067
0.156588,0.78146,0.71108
0.039109,0.882536,-0.235956
0.842573,0.072511,0.575714
0.039567,0.074266,-0.347876
0.57319,0.487205,0.713371
0.881315,0.459113,1.007723
0.30956,0.024674,3.753644
0.099367,0.417639,4.558074
0.432258,0.973114,0.06728
0.424521,0.424216,0.81372
0.752422,0.910353,0.544496
0.371832,0.219242,2.981186
0.154376,0.217777,1.356739
0.194522,0.329671,3.48226
0.392493,0.167361,8.314437
0.444312,0.050111,20.108808
0.937621,0.772519,-0.152517
0.139178,0.998795,0.412925
0.082704,0.699413,0.234852
0.752483,0.672374,-1.509258
0.974472,0.162646,1.911554
0.604486,0.712886,-0.877295
0.645853,0.386877,1.340898
0.033783,0.120546,1.648775
0.317784,0.617807,-2.680036
0.505516,0.106661,22.614996
0.606256,0.965469,1.31628
0.799588,0.258198,8.196634
0.884825,0.988266,-0.000671
0.864805,0.366278,4.498845
0.129412,0.372213,2.154232
0.109392,0.836164,0.702041
0.628428,0.957443,4.523768
0.057847,0.117754,-0.155337
0.998779,0.828382,-0.031427
0.859739,0.166567,0.66584
0.00621,0.108766,1.88213
0.255436,0.756649,0.526597
0.397772,0.124559,25.121865
0.076265,0.112856,-1.780163
0.006867,0.088533,0.641232
0.422736,0.30927,3.76598
0.235676,0.093767,1.651961
0.297169,0.911559,-0.249828
0.548669,0.590875,0.240598
0.512428,0.417716,4.526667
0.356268,0.988296,-0.984071
0.449241,0.873442,-1.446838
0.568383,0.89781,1.726037
